Scenario,Safety,Efficiency,Comfort,Total,Note
vae_wgan_sample_0,50.0,20.38,19.96,90.34,1.本工具从安全性(满分50分)、效率性(满分30分) 以及舒适性(满分20分)三个维度对规控器进行性能评价，总分满分100分。
vae_wgan_sample_1000,50.0,4.65,19.96,74.61,2.用户可依据评价结果选取需要的场景，借助onsite官网提供的可视化工具对该场景下的驾驶场景进行复现。
vae_wgan_sample_1001,50.0,19.87,19.96,89.83,
vae_wgan_sample_1002,50.0,2.37,19.92,72.29,
vae_wgan_sample_1003,50.0,5.88,19.96,75.84,
vae_wgan_sample_1004,50.0,4.95,19.96,74.91,
vae_wgan_sample_1005,28.8,4.62,19.92,53.34,
vae_wgan_sample_1006,50.0,19.52,19.96,89.48,
vae_wgan_sample_1007,50.0,6.18,19.92,76.1,
vae_wgan_sample_1008,50.0,19.44,19.96,89.4,
vae_wgan_sample_1009,50.0,19.73,19.96,89.69,
vae_wgan_sample_100,50.0,5.54,19.96,75.5,
vae_wgan_sample_1010,50.0,4.63,19.96,74.59,
vae_wgan_sample_1011,50.0,19.43,19.96,89.39,
vae_wgan_sample_1012,50.0,20.27,19.96,90.23,
vae_wgan_sample_1013,50.0,20.09,19.96,90.05,
vae_wgan_sample_1014,50.0,4.73,19.96,74.69,
vae_wgan_sample_1015,50.0,20.42,19.96,90.38,
vae_wgan_sample_1016,50.0,19.77,19.96,89.73,
vae_wgan_sample_1017,50.0,19.69,19.96,89.65,
vae_wgan_sample_1018,50.0,4.64,19.96,74.6,
vae_wgan_sample_1019,50.0,20.05,19.96,90.01,
vae_wgan_sample_101,50.0,6.09,19.92,76.01,
vae_wgan_sample_1020,50.0,4.5,19.96,74.46,
vae_wgan_sample_1021,50.0,6.9,20,76.9,
vae_wgan_sample_1022,50.0,18.85,20,88.85,
vae_wgan_sample_1023,50.0,20.21,19.96,90.17,
vae_wgan_sample_1024,50.0,4.72,19.96,74.68,
vae_wgan_sample_1025,50.0,20.12,19.92,90.04,
vae_wgan_sample_1026,50.0,4.4,19.96,74.36,
vae_wgan_sample_1027,50.0,7.1,19.84,76.94,
vae_wgan_sample_1028,50.0,6.55,19.96,76.51,
vae_wgan_sample_1029,50.0,20.2,19.92,90.12,
vae_wgan_sample_102,50.0,4.88,19.96,74.84,
vae_wgan_sample_1030,50.0,19.79,19.96,89.75,
vae_wgan_sample_1031,50.0,4.69,19.92,74.61,
vae_wgan_sample_1032,50.0,5.12,19.92,75.04,
vae_wgan_sample_1033,50.0,4.84,19.92,74.76,
vae_wgan_sample_1034,50.0,20.21,19.96,90.17,
vae_wgan_sample_1035,50.0,19.64,19.96,89.6,
vae_wgan_sample_1036,50.0,4.36,19.92,74.28,
vae_wgan_sample_1037,50.0,6.58,19.96,76.54,
vae_wgan_sample_1038,50.0,19.67,19.92,89.59,
vae_wgan_sample_1039,50.0,19.86,19.96,89.82,
vae_wgan_sample_103,50.0,4.89,19.96,74.85,
vae_wgan_sample_1040,50.0,19.47,19.96,89.43,
vae_wgan_sample_1041,50.0,20.35,19.96,90.31,
