Scenario,Safety,Efficiency,Comfort,Total,Note
vae_wgan_train_0,50.0,20.79,19.96,90.75,1.本工具从安全性(满分50分)、效率性(满分30分) 以及舒适性(满分20分)三个维度对规控器进行性能评价，总分满分100分。
vae_wgan_train_1000,50.0,18.2,19.92,88.12,2.用户可依据评价结果选取需要的场景，借助onsite官网提供的可视化工具对该场景下的驾驶场景进行复现。
vae_wgan_train_1001,50.0,1.69,19.92,71.61,
vae_wgan_train_1002,50.0,2.05,19.92,71.97,
vae_wgan_train_1003,50.0,20.09,19.52,89.61,
vae_wgan_train_1004,50.0,2.62,19.92,72.54,
vae_wgan_train_1005,50.0,17.27,19.96,87.23,
vae_wgan_train_1006,50.0,19.76,19.0,88.76,
vae_wgan_train_1007,50.0,19.54,19.92,89.46,
vae_wgan_train_1008,50.0,17.8,19.92,87.72,
vae_wgan_train_1009,50.0,2.43,19.92,72.35,
vae_wgan_train_100,50.0,21.78,19.96,91.74,
vae_wgan_train_1010,50.0,3.8,19.84,73.64,
vae_wgan_train_1011,50.0,5.12,18.08,73.2,
vae_wgan_train_1012,50.0,19.43,19.96,89.39,
vae_wgan_train_1013,50.0,3.37,19.96,73.33,
vae_wgan_train_1014,50.0,3.89,19.12,73.01,
vae_wgan_train_1015,50.0,5.17,19.32,74.49,
vae_wgan_train_1016,50.0,19.24,19.8,89.04,
vae_wgan_train_1017,50.0,20.07,19.16,89.23,
vae_wgan_train_1018,50.0,3.53,19.96,73.49,
vae_wgan_train_1019,50.0,18.82,19.92,88.74,
vae_wgan_train_101,50.0,19.56,19.92,89.48,
vae_wgan_train_1020,50.0,19.07,19.8,88.87,
vae_wgan_train_1021,50.0,19.64,19.96,89.6,
vae_wgan_train_1022,50.0,4.04,19.96,74.0,
vae_wgan_train_1023,50.0,3.35,19.16,72.51,
vae_wgan_train_1024,50.0,19.54,19.92,89.46,
vae_wgan_train_1025,50.0,18.28,19.64,87.92,
vae_wgan_train_1026,50.0,19.6,19.92,89.52,
vae_wgan_train_1027,50.0,3.99,19.24,73.23,
vae_wgan_train_1028,50.0,21.38,19.76,91.14,
vae_wgan_train_1029,50.0,21.43,19.96,91.39,
vae_wgan_train_102,50.0,6.83,19.32,76.15,
vae_wgan_train_1030,50.0,4.7,19.92,74.62,
vae_wgan_train_1031,50.0,18.19,19.92,88.11,
vae_wgan_train_1032,50.0,19.9,19.96,89.86,
vae_wgan_train_1033,50.0,20.28,19.88,90.16,
vae_wgan_train_1034,50.0,19.37,19.92,89.29,
vae_wgan_train_1035,50.0,3.55,19.92,73.47,
vae_wgan_train_1036,50.0,3.1,19.92,73.02,
vae_wgan_train_1037,50.0,18.93,19.96,88.89,
vae_wgan_train_1038,50.0,20.13,19.96,90.09,
vae_wgan_train_1039,50.0,3.28,19.4,72.68,
vae_wgan_train_103,50.0,6.83,19.32,76.15,
vae_wgan_train_1040,50.0,18.98,19.92,88.9,
vae_wgan_train_1041,50.0,19.15,19.96,89.11,
vae_wgan_train_1042,50.0,20.28,19.88,90.16,
vae_wgan_train_1043,50.0,3.55,19.92,73.47,
vae_wgan_train_1044,50.0,4.98,19.96,74.94,
vae_wgan_train_1045,50.0,18.72,19.92,88.64,
vae_wgan_train_1046,50.0,3.78,19.92,73.7,
vae_wgan_train_1047,50.0,18.38,19.52,87.9,
vae_wgan_train_1048,50.0,5.15,19.88,75.03,
vae_wgan_train_1049,50.0,18.7,19.96,88.66,
vae_wgan_train_104,50.0,21.37,19.96,91.33,
vae_wgan_train_1050,50.0,4.51,19.96,74.47,
vae_wgan_train_1051,50.0,4.99,19.96,74.95,
vae_wgan_train_1052,50.0,5.85,19.12,74.97,
vae_wgan_train_1053,50.0,19.46,19.4,88.86,
vae_wgan_train_1054,50.0,19.71,19.92,89.63,
vae_wgan_train_1055,50.0,19.73,19.96,89.69,
vae_wgan_train_1056,50.0,20.83,19.92,90.75,
vae_wgan_train_1057,50.0,19.69,19.92,89.61,
vae_wgan_train_1058,50.0,4.38,19.96,74.34,
vae_wgan_train_1059,50.0,20.03,19.96,89.99,
vae_wgan_train_105,50.0,5.05,19.92,74.97,
vae_wgan_train_1060,50.0,20.35,19.92,90.27,
vae_wgan_train_1061,50.0,21.31,19.96,91.27,
vae_wgan_train_1062,50.0,4.06,19.96,74.02,
vae_wgan_train_1063,50.0,18.78,19.92,88.7,
vae_wgan_train_1064,50.0,5.04,19.92,74.96,
vae_wgan_train_1065,50.0,4.44,19.92,74.36,
