Scenario,Safety,Efficiency,Comfort,Total,Note
vae_wgan_sample_0,50.0,4.17,19.92,74.09,1.本工具从安全性(满分50分)、效率性(满分30分) 以及舒适性(满分20分)三个维度对规控器进行性能评价，总分满分100分。
vae_wgan_sample_1000,50.0,19.06,19.76,88.82,2.用户可依据评价结果选取需要的场景，借助onsite官网提供的可视化工具对该场景下的驾驶场景进行复现。
vae_wgan_sample_1001,50.0,6.42,19.96,76.38,
vae_wgan_sample_1002,50.0,19.98,19.96,89.94,
vae_wgan_sample_1003,50.0,20.03,19.92,89.95,
vae_wgan_sample_1004,50.0,5.61,19.92,75.53,
vae_wgan_sample_1005,50.0,6.2,19.68,75.88,
vae_wgan_sample_1006,50.0,20.11,19.92,90.03,
vae_wgan_sample_1007,50.0,5.82,18.92,74.74,
vae_wgan_sample_1008,50.0,18.03,19.96,87.99,
vae_wgan_sample_1009,50.0,5.59,19.56,75.15,
vae_wgan_sample_100,50.0,4.58,19.96,74.54,
vae_wgan_sample_1010,50.0,5.66,19.48,75.14,
vae_wgan_sample_1011,50.0,5.28,19.92,75.2,
vae_wgan_sample_1012,50.0,20.38,19.92,90.3,
vae_wgan_sample_1013,50.0,20.34,19.96,90.3,
vae_wgan_sample_1014,50.0,19.79,19.96,89.75,
vae_wgan_sample_1015,50.0,20.26,19.96,90.22,
vae_wgan_sample_1016,50.0,4.84,19.96,74.8,
vae_wgan_sample_1017,50.0,5.94,19.92,75.86,
vae_wgan_sample_1018,50.0,5.51,19.6,75.11,
vae_wgan_sample_1019,50.0,5.5,20,75.5,
vae_wgan_sample_101,50.0,19.92,19.96,89.88,
vae_wgan_sample_1020,50.0,5.7,19.92,75.62,
vae_wgan_sample_1021,50.0,5.89,19.92,75.81,
vae_wgan_sample_1022,50.0,5.86,19.96,75.82,
vae_wgan_sample_1023,50.0,20.55,19.96,90.51,
vae_wgan_sample_1024,50.0,4.61,19.96,74.57,
vae_wgan_sample_1025,50.0,20.5,19.96,90.46,
vae_wgan_sample_1026,50.0,5.43,19.4,74.83,
vae_wgan_sample_1027,50.0,4.91,19.96,74.87,
vae_wgan_sample_1028,50.0,21.68,19.96,91.64,
vae_wgan_sample_1029,50.0,2.1,19.96,72.06,
vae_wgan_sample_102,50.0,3.21,19.92,73.13,
vae_wgan_sample_1030,50.0,6.44,19.96,76.4,
